ClaimLineItemStatus,X12ClaimCodeType,Code,Description
,2,50,"	THESE ARE NON-COVERED SERVICES BECAUSE THIS IS NOT DEEMED A  MEDICAL NECESSITY  BY THE PAYER._cmc"
,2,59,"	PROCESSED BASED ON MULTIPLE OR CONCURRENT PROCEDURE RULES. (FOR EXAMPLE MULTIPLE SURGERY OR DIAGNOSTIC IMAGING, CONCURRENT ANESTHESIA.)_cmc"
,3,69,CODE USED FOR INTERNAL SYSTEM REPORTING AND/OR PROCESSING
,2,96,"	NON-COVERED CHARGE(S)._cmc"
,2,97,"	THE BENEFIT FOR THIS SERVICE IS INCLUDED IN THE PAYMENT /ALLOWANCE FOR ANOTHER SERVICE/PROCEDURE THAT HAS ALREADY BEEN ADJUDICATED._cmc"
,2,109,"	CLAIM/SERVICE NOT COVERED BY THIS PAYER/CONTRACTOR. YOU MUST SEND THE CLAIM/SERVICE TO THE CORRECT PAYER/CONTRACTOR._cmc"
,2,119,"	BENEFIT MAXIMUM FOR THIS TIME PERIOD OR OCCURRENCE HAS BEEN REACHED._cmc"
,2,131,"	CLAIM SPECIFIC NEGOTIATED DISCOUNT._cmc"
,3,149,"THESE ARE NON-COVERED SERVICES BECAUSE THIS IS NOT DEEMED A 'MEDICAL NECESSITY' BY THE PAYER. THIS DECISION WAS BASED ON A LOCAL COVERAGE DETERMINATION (LCD). AN LCD PROVIDES A GUIDE TO ASSIST IN DETERMINING WHETHER A PARTICULAR ITEM OR SERVICE IS COVERED. A COPY OF THIS POLICY IS AVAILABLE AT WWW.CMS.GOV/MCD, OR IF YOU DO NOT HAVE WEB ACCESS, YOU MAY CONTACT THE CONTRACTOR TO REQUEST COPY OF THE LCD."
,2,170,"	PAYMENT IS DENIED WHEN PERFORMED/BILLED BY THIS TYPE OF PROVIDER._cmc"
,2,197,"	PRECERTIFICATION/AUTHORIZATION/NOTIFICATION/ PRE-TREATMENT ABSENT._cmc"
,2,204,"	THIS SERVICE/EQUIPMENT/DRUG IS NOT COVERED UNDER THE PATIENT S CURRENT BENEFIT PLAN._cmc"
,2,227,"	INFORMATION REQUESTED FROM THE PATIENT/INSURED/ RESPONSIBLE PARTY WAS NOT PROVIDED OR WAS INSUFFICIENT/INCOMPLETE._cmc"
,2,234,"	THIS PROCEDURE IS NOT PAID SEPARATELY._cmc"
,2,242,"	SERVICES NOT PROVIDED BY NETWORK/PRIMARY CARE PROVIDERS ._cmc"
,2,243,"	SERVICES NOT AUTHORIZED BY NETWORK/PRIMARY CARE PROVIDERS._cmc"
,2,246,"	THIS NON-PAYABLE CODE IS FOR REQUIRED REPORTING ONLY._cmc"
,2,252,"	AN ATTACHMENT/OTHER DOCUMENTATION IS REQUIRED TO ADJUDICATE THIS CLAIM/SERVICE._cmc"
,2,253,"	SEQUESTRATION - REDUCTION IN FEDERAL PAYMENT_cmc"
,2,256,"	SERVICE NOT PAYABLE PER MANAGED CARE CONTRACT._cmc"
,2,272,"	COVERAGE/PROGRAM GUIDELINES WERE NOT MET._cmc"
,2,288,"	REFERRAL ABSENT._cmc"
,3,806,NEW PATIENT' QUALIFICATIONS WERE NOT MET. INCORRECT PROCEDURE CODE FOR AN ESTABLISHED PATIENT.
,3,825,ALERT: CONSULT PLAN BENEFIT DOCUMENTS/GUIDELINES FOR INFORMATION ABOUT RESTRICTIONS FOR THIS SERVICE
,3,888,CHARGE(S) EXCEED(S) FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT. ALERT: YOU MAY BE SUBJECT TO PENALITIES IF YOU BILL THE PATIENT FOR AMOUNTS NOT REPORTED WITH THE PR (PATIENT RESPONSIBILITY) GROUP CODE.
,3,908,Provider negotiated discount. You are not responsible for this amount.
,3,926,CHARGE(S) EXCEED(S) FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT.
,3,986,CHARGE(S) EXCEED(S) FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT.
,3,1094,NON-COVERED CHARGE(S). SERVICE NOT COVERED BY MEDICARE.
,3,1251,SERVICES REQUIRE NOTIFICATION WHICH WERE NOT AUTHORIZED BY NETWORK OR PRIMARY CARE PROVIDERS.
,3,1436,"TO VIEW DETAIL REGARDING THIS CLAIM, PLEASE GO TO: HTTPS://PROVIDER.MARSAUDITOR.COM"
,3,2012,CHARGE(S) EXCEED(S) FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT. CLAIM PROCESSED ACCORDING TO BEHAVORIAL HEALTH CONTRACT.
,4,10ADN,One of the Diagnosis codes is not typical for age of this patient 19.
,3,4G,"	BENEFITS FOR THIS SERVICE ARE DENIED. THE PROVIDER S CLINICAL LABORATORY IMPROVEMENT AMENDMENTS (CLIA) ID WAS MISSING OR INVALID FOR THIS DATE OF SERVICE. PLEASE RESUBMIT WITH A VALID CLIA ID._cmc"
,3,A02,NO AUTHORIZATION ON FILE
,3,A06,STATE IS RESPONSIBLE FOR SERVICES
,3,A12,THE SERVICE PERFORMED IS NOT COVERED UNDER THE PROVIDER'S CONTRACT.
,3,A18,THE SERVICE PERFORMED IS INCLUDED IN THE CASE RATE.
,3,A27,"	OUR RECORDS SHOW THE MEMBER HAS PRIMARY HEALTH INSURANCE COVERAGE WITH ANOTHER INSURANCE CARRIER. TO DETERMINE OUR RESPONSIBILITY AS THE SECONDARY CARRIER FOR THIS CLAIM, WE NEED AN EXPLANATION OF BENEFITS (EOB) FROM THE PRIMARY CARRIER. PLEASE PROVIDE US WITH A COPY OF THE EOB ALONG WITH THIS STATEMENT._cmc"
,3,AA,"	OUR RECORDS INDICATE WE HAVE NOT RECEIVED YOUR PREMIUM PAYMENT. PLEASE SUBMIT YOUR PREMIUM WITHIN THE GRACE PERIOD. ONCE RECEIVED YOUR CLAIM WILL BE PROCESSED ACCORDING TO THE TERMS OF YOUR PLAN._cmc"
,2,B11,"	THE CLAIM/SERVICE HAS BEEN TRANSFERRED TO THE PROPER PAYER/PROCESSOR FOR PROCESSING. CLAIM/SERVICE NOT COVERED BY THIS PAYER/PROCESSOR._cmc"
,2,B13,"	PREVIOUSLY PAID. PAYMENT FOR THIS CLAIM/SERVICE MAY HAVE BEEN PROVIDED IN A PREVIOUS PAYMENT._cmc"
,2,B16,"	 NEW PATIENT  QUALIFICATIONS WERE NOT MET._cmc"
,2,B7,"	THIS PROVIDER WAS NOT CERTIFIED/ELIGIBLE TO BE PAID FOR THIS PROCEDURE/SERVICE ON THIS DATE OF SERVICE._cmc"
,4,C18DN,Current line diagnosis is not valid with current line procedure code 83036 per the Clinical Diagnostic Lab Policy for Glycated Hemoglobin Protein.
,3,CDD,"	OUR RECORDS SHOW THIS SERVICE IS A DUPLICATE OF A PREVIOUS SUMBISSION AND IT WAS ALREADY PROCESSED. PLEASE DO NOT BILL THE MEMBER._cmc"
,3,D1,"	NETWORK BENEFITS HAVE BEEN APPLIED. THE MEMBER IS ONLY RESPONSIBLE FOR THE COST SHARE (DEDUCTIBLE, COPAY AND COINSURANCE) AND ANY NON-COVERED AMOUNT AFTER THEY MEET THEIR BENEFIT LIMIT FOR A COVERED SERVICE._cmc"
,4,DLP,002 This line is a possible duplicate of Claim ID-Ext/Int Line ID   EJ49370072001-001/3.
,4,DTPDN,003 The maximum frequency of 1 for the Drug Test Proc 80305 has been met for this date of service per Claim ID- Ext/Int Line ID   EG11122128001-001/1.
,3,E43,THIS PROVIDER IS NOT ELIGIBLE TO BILL FOR SERVICES
,3,F02,PRE-CERTIFICATION/AUTHORIZATION/NOTIFICATION ABSENT.
,3,GB,"	YOUR CLAIM HAS BEEN REPROCESSED BASED ON THE ADDITIONAL INFORMATION WE RECEIVED REGARDING THE DISCOUNT._cmc"
,4,GDPIN,Proc 99396 is included in the global period of HxProc 69210 on Claim ID this claim Line ID 4 on date of service 01/29/2024.
,3,I09,THIS PROVIDER WAS NOT CERTIFIED/ELIGIBLE TO BE PAID FOR THIS PROCEDURE/SERVICE ON THIS DATE OF SERVICE.
,3,i14,THIS SERVICE IS NOT COVERED UNDER THE MEMBER'S CURRENT BENEFIT PLAN.
,3,i20,OUT OF NETWORK PM PRICING APPLIED
,3,I4,"	BENEFITS FOR THIS SERVICE OR SUPPLY ARE DENIED. IT IS CONSIDERED PART OF ANOTHER SERVICE AND IT IS NOT ALLOWED AS A SEPARATE CHARGE._cmc"
,3,I5,"	THIS SERVICE OR ITEM IS NOT REIMBURSABLE IN THIS PLACE OF SERVICE._cmc"
,3,I50,SERVICE NOT DOCUMENTATED IN PATIENT'S MEDICAL RECORDS. ADDITIONAL PAYMENT/RECOUPMENT APPROVED BASED ON PAYER-INITIATED REVIEW/AUDIT.
,3,IT,"	YOU HAVE ACCEPTED A DISCOUNT FOR THIS SERVICE AS AN OUT-OF-NETWORK HEALTH CARE PROFESSIONAL BASED ON AN AGREEMENT WITH MULTIPLAN. THE MEMBER IS ONLY RESPONSIBLE FOR THE COST SHARE (DEDUCTIBLE, COPAY AND COINSURANCE) AND ANY NON-COVERED AMOUNT AFTER THE BENEFIT LIMIT FOR A COVERED SERVICE HAS BEEN REACHED._cmc"
,3,KM,"	THIS CHARGE IS DENIED BASED ON THE PROCEDURE CODE YOUR PROVIDER USED. THIS PROVIDER IS NOT ELIGIBLE TO BILL THE PROCEDURE CODE FOR THIS SERVICE BASED ON OUR REIMBURSEMENT POLICIES. THE PROVIDER MAY SUBMIT A CORRECTED CLAIM USING AN APPROPRIATE PROCEDURE OR HCPCS CODE. THE PROVIDER MUST INDICATE IT IS A REPLACEMENT CLAIM OR CLEARLY MARK IT WITH THE WORD ""CORRECTED.""_cmc"
,3,L38,THIS PROCEDURE IS COVERED UNDER MEDICARE PART D AND HAS BEEN TRANSFERRED TO THE PROPER PAYER.
,4,LABDU,Proc 83036 is a duplicate service to HxProc 83036 on Claim ID 24E944004700 Line ID 1.
,3,LN,"	NO BENEFIT IS DUE BECAUSE THIS CODE WAS BILLED FOR ZERO DOLLARS OR SHOULD HAVE BEEN BILLED FOR ZERO DOLLARS._cmc"
,3,LP,"	BENEFITS FOR THIS SERVICE ARE DENIED. THE CLAIM WASN T SUBMITTED ON TIME BASED ON THE STATE TIMELY FILING RULES. THIS CLAIM MAY HAVE ALREADY BEEN REVIEWED AND PROCESSED. WE ASK THAT THE PROVIDER SEND US PROOF THAT THE CLAIM WAS SUBMITTED ON TIME. OPTIONS FOR THAT INCLUDE: AN ELECTRONIC DATA INTERCHANGE REPORT, SUBMISSION OR ACCEPTANCE REPORT, RECONSIDERATION FORM WITH AN EXPLANATION OR A BILLING SOFTWARE STATEMENT. THE PROVIDER MUST ALSO INDICATE IT IS A REPLACEMENT CLAIM OR CLEARLY MARK IT WITH THE WORD ""CORRECTED.""_cmc"
,3,LY,"	NO BENEFIT IS DUE BECAUSE THIS CODE WAS BILLED FOR ZERO DOLLARS OR SHOULD HAVE BEEN BILLED FOR ZERO DOLLARS._cmc"
,1,M115,"	THIS ITEM IS DENIED WHEN PROVIDED TO THIS PATIENT BY A NON-CONTRACT OR NON-DEMONSTRATION SUPPLIER._cmc"
,1,M15,"	SEPARATELY BILLED SERVICES/TESTS HAVE BEEN BUNDLED AS THEY ARE CONSIDERED COMPONENTS OF THE SAME PROCEDURE. SEPARATE PAYMENT IS NOT ALLOWED._cmc"
,3,M6,"	THIS IS A RECONSIDERATION OF A PREVIOUSLY PROCESSED CLAIM. NO ACTION IS REQUIRED._cmc"
,1,M76,"	MISSING/INCOMPLETE/INVALID DIAGNOSIS OR CONDITION._cmc"
,1,M77,"	MISSING/INCOMPLETE/INVALID/INAPPROPRIATE PLACE OF SERVICE._cmc"
,1,M80,"	NOT COVERED WHEN PERFORMED DURING THE SAME SESSION/DATE AS A PREVIOUSLY PROCESSED SERVICE FOR THE PATIENT._cmc"
,1,M86,"	SERVICE DENIED BECAUSE PAYMENT ALREADY MADE FOR SAME/SIMILAR PROCEDURE WITHIN SET TIME FRAME._cmc"
,1,MA04,"	SECONDARY PAYMENT CANNOT BE CONSIDERED WITHOUT THE IDENTITY OF OR PAYMENT INFORMATION FROM THE PRIMARY PAYER. THE INFORMATION WAS EITHER NOTREPORTED OR WAS ILLEGIBLE._cmc"
,1,MA120,"	MISSING/INCOMPLETE/INVALID CLIA CERTIFICATION NUMBER._cmc"
,1,MA63,"	MISSING/INCOMPLETE/INVALID PRINCIPAL DIAGNOSIS._cmc"
,1,MA67,"	CORRECTION TO A PRIOR CLAIM._cmc"
,1,N115,"	THIS DECISION WAS BASED ON A LOCAL COVERAGE DETERMINATION (LCD). AN LCD PROVIDES A GUIDE TO ASSIST IN DETERMINING WHETHER A PARTICULAR ITEMOR SERVICE IS COVERED. A COPY OF THIS POLICY IS AVAILABLE AT WWW.CMS.GOV/MCD, OR IF YOU DO NOT HAVE WEB ACCESS, YOU MAY CONTACT THE CONTRACTOR TO REQUEST A COPY OF THE LCD._cmc"
,1,N129,"	NOT ELIGIBLE DUE TO THE PATIENT S AGE._cmc"
,1,N130,"	CONSULT PLAN BENEFIT DOCUMENTS/GUIDELINES FOR INFORMATION ABOUT RESTRICTIONS FOR THIS SERVICE._cmc"
,1,N174,"	THIS IS NOT A COVERED SERVICE/PROCEDURE/ EQUIPMENT/BED, HOWEVER PATIENT LIABILITY IS LIMITED TO AMOUNTS SHOWN IN THE ADJUSTMENTS UNDER GROUP  PR ._cmc"
,1,N290,"	MISSING/INCOMPLETE/INVALID RENDERING PROVIDER PRIMARY IDENTIFIER._cmc"
,1,N30,"	PATIENT INELIGIBLE FOR THIS SERVICE._cmc"
,1,N380,"	THE ORIGINAL CLAIM HAS BEEN PROCESSED, SUBMIT A CORRECTED CLAIM._cmc"
,1,N386,"	THIS DECISION WAS BASED ON A NATIONAL COVERAGE DETERMINATION (NCD). AN NCD PROVIDES A COVERAGE DETERMINATION AS TO WHETHER A PARTICULAR ITEMOR SERVICE IS COVERED. A COPY OF THIS POLICY IS AVAILABLE AT WWW.CMS.GOV/MCD/SEARCH.ASP. IF YOU DO NOT HAVE WEB ACCESS, YOU MAY CONTACT THECONTRACTOR TO REQUEST A COPY OF THE NCD._cmc"
,1,N418,"	MISROUTED CLAIM. SEE THE PAYER S CLAIM SUBMISSION INSTRUCTIONS._cmc"
,1,N448,"	THIS DRUG/SERVICE/SUPPLY IS NOT INCLUDED IN THE FEE SCHEDULE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT._cmc"
,1,N479,"	MISSING EXPLANATION OF BENEFITS (COORDINATION OF BENEFITS OR MEDICARE SECONDARY PAYER)._cmc"
,1,N519,"	INVALID COMBINATION OF HCPCS MODIFIERS._cmc"
,1,N522,"	DUPLICATE OF A CLAIM PROCESSED, OR TO BE PROCESSED, AS A CROSSOVER CLAIM._cmc"
,1,N525,"	THESE SERVICES ARE NOT COVERED WHEN PERFORMED WITHIN THE GLOBAL PERIOD OF ANOTHER SERVICE._cmc"
,1,N570,"	MISSING/INCOMPLETE/INVALID CREDENTIALING DATA._cmc"
,1,N620,"	THIS PROCEDURE CODE IS FOR QUALITY REPORTING/INFORMATIONAL PURPOSES ONLY._cmc"
,1,N657,"	THIS SHOULD BE BILLED WITH THE APPROPRIATE CODE FOR THESE SERVICES._cmc"
,1,N70,"	CONSOLIDATED BILLING AND PAYMENT APPLIES._cmc"
,1,N702,"	DECISION BASED ON REVIEW OF PREVIOUSLY ADJUDICATED CLAIMS OR FOR CLAIMS IN PROCESS FOR THE SAME/SIMILAR TYPE OF SERVICES._cmc"
,1,N751,"	ADJUSTED BECAUSE THE PATIENT IS COVERED UNDER A MEDICARE PART D PLAN._cmc"
,1,N95,"	THIS PROVIDER TYPE/PROVIDER SPECIALTY MAY NOT BILL THIS SERVICE._cmc"
,4,NCCNN,The following code 3008F is a non-covered service.
,3,ND,"	THIS OUT-OF-NETWORK SERVICE WAS PAID BASED ON MEDICARE ALLOWED AMOUNTS OR OTHER SOURCES IF NO MEDICARE AMOUNT IS AVAILABLE. THESE AMOUNTS ARE USED EVEN IF THE PATIENT IS NOT ENROLLED IN MEDICARE._cmc"
,3,NI,"	BENEFITS FOR THIS SERVICE ARE DENIED. BENEFITS ARE ONLY AVAILABLE WHEN THE MEMBER RECEIVES SERVICES FROM A HEALTH CARE PROFESSIONAL IN THEIR PLAN S NETWORK._cmc"
,3,NN,"	THROUGH A PRE PAID AGREEMENT, THESE SERVICES ARE COVERED UNDER A MONTHLY PAYMENT. THE MEMBER IS NOT RESPONSIBLE TO PAY THESE EXPENSES. HOWEVER, IF APPLICABLE TO THE PLAN, THE MEMBER IS RESPONSIBLE FOR THE COPAY AMOUNT._cmc"
,4,NPHDN,001 Procedure code 99213 is not allowed when billed by a nonphysician health care professional.
,4,NPT1MH,History Flag for adjustment purposes only. This patient received care by the same provider group as provider 000963871010 within the last three years. Hx Proc 99381 on Claim ID 24C973949800 Line ID 1 submitted by provider 000963871010.
,3,O88,CLIA ID/ADDRESS MISSING/INVALID
,3,O89,CLIA ID/ADDRESS MISSING/INVALID
,3,p11,MISSING OR INVALID PROVIDER SPECIALTY
,3,p32,THIS CLAIM LINE IS BEING DISALLOWED BECAUSE THE SERVICES ARE NOT COVERED BY MEDICARE
,3,p45,THE PLACE OF SERVICE IS NOT TYPICAL FOR THE PROCEDURE CODE
,3,PAI,"	CHARGES FOR THIS SERVICE ARE MORE THAN THE FEE SCHEDULE, MAXIMUM ALLOWABLE, OR CONTRACTED/LEGISLATED FEE ARRANGEMENT. WE HAVE APPLIED THE APPROPRIATE ALL INCLUSIVE PER DIEM RATE._cmc"
,3,PDC,"	CHARGES FOR THIS SERVICE ARE MORE THAN THE FEE SCHEDULE, MAXIMUM ALLOWABLE, OR CONTRACTED/LEGISLATED FEE ARRANGEMENT. WE HAVE APPLIED THE APPROPRIATE CONTRACTED AMOUNT._cmc"
,3,PMX,CHARGE EXCEEDS FEE SCHEDULE/MAXIMUM ALLOWABLE OR CONTRACTED/LEGISLATED FEE ARRANGEMENT.
,3,pp9,THIS SERVICE/EQUIPMENT/DRUG IS NOT COVERED UNDER THE PATIENT'S CURRENT
,3,ps4,THE PROCEDURE CODE/BILL TYPE IS INCONSISTENT WITH THE PLACE OF SERVICE
,3,pt5,NOT A FREQ DX CODE W/PROCEDURE
,3,pu3,THE PROCEDURE CODE IS INCONSISTENT WITH THE PROVIDER TYPE/SPECIALTY
,3,pw7,REQUIRED MODIFIER IS MISSING
,3,PXN,"	CHARGES FOR THIS SERVICE ARE MORE THAN THE FEE SCHEDULE, MAXIMUM ALLOWABLE, OR CONTRACTED/LEGISLATED FEE ARRANGEMENT. WE HAVE APPLIED THE APPROPRIATE CONTRACTED AMOUNT._cmc"
,3,py2,PROCEDURE CODE INCLUDED IN ANOTHER SERVICE
,3,py3,CODE IS NOT PAYABLE - FOR INFORMATIONAL PURPOSES ONLY
,3,py6,PROC IS PART OF THE GLOBAL SERVICE
,3,pz6,PROC CODE/MOD PREVIOUSLY CONSIDERED
,3,Q48,PRINCIPAL DIAGNOSIS INVALID. CODE CANNOT BE USED AS PRINCIPAL DX
,3,QLV,PROBLEM-ORIENTED SERVICE 50% REDUCTION
,3,S23,DATE REQ. PRIOR TO SUBSCRIBER EFF DT.
,3,s46,NOT COVERED PER MEDICARE LCD/NCD
,3,s52,"	THIS CODE HAS NO ALLOWED AMOUNT BECAUSE THE SERVICES SUBMITTED ARE USED FOR INFORMATIONAL/REPORTING PURPOSES ONLY._cmc"
,3,SF,"	BENEFITS FOR THIS SERVICE ARE DENIED. OUR RECORDS SHOW THAT THE MEMBER HAS PRIMARY HEALTH INSURANCE COVERAGE WITH ANOTHER INSURANCE CARRIER. AN EXPLANATION OF BENEFITS (EOB) IS REQUIRED FROM THE PRIMARY CARRIER IN ORDER FOR US TO DETERMINE OUR OBLIGATION FOR THIS CLAIM AS THE SECONDARY CARRIER. PLEASE, SEND US A COPY OF THE EOB AND THIS STATEMENT._cmc"
,3,ST,MEMBER NOT ELIGIBLE FOR BENEFITS
,3,T0,"	THIS CLAIM WAS PROCESSED USING YOUR CONTRACTED RATE. THE MEMBER IS ONLY RESPONSIBLE FOR THE COST SHARE (DEDUCTIBLE, COPAY AND COINSURANCE) AND ANY NON-COVERED AMOUNT AFTER THEY MEET THEIR BENEFIT LIMIT FOR A COVERED SERVICE._cmc"
,4,TCHPD,002 Proc G8417 is not reimbursable in a telehealth POS.
,3,TF1,THE TIME LIMIT FOR FILING HAS EXPIRED.
,4,UES,001 Proc 99396 and HxProc G0439 (ANNUAL WELLNESS VST; PERSONALIZED PPS SUBSQT VST) on Claim ID-Ext/Int Line ID EE36535222 002/2 is an inappropriate coding combination.
,3,UG,"	NETWORK PLAN DISCOUNT HAS BEEN APPLIED. THE MEMBER HAS NOT MET THE PLAN DEDUCTIBLE AND IS RESPONSIBLE FOR THE AMOUNT SHOWN._cmc"
,3,UP,"	BENEFITS FOR THIS SERVICE ARE DENIED. THE CLAIM WASN T SUBMITTED ON TIME BASED ON THE PROVIDER S CONTRACT. THIS CLAIM MAY HAVE ALREADY BEEN REVIEWED AND PROCESSED. FOR THE CLAIM TO BE RECONSIDERED, WE ASK THAT THE PROVIDER SEND US PROOF THAT THE CLAIM WAS SUBMITTED ON TIME. OPTIONS FOR THAT INCLUDE: AN ELECTRONIC DATA INTERCHANGE REPORT, SUBMISSION OR ACCEPTANCE REPORT, RECONSIDERATION FORM WITH AN EXPLANATION OR A BILLING SOFTWARE STATEMENT. THE PROVIDER MUST ALSO INDICATE IT IS A REPLACEMENT CLAIM OR CLEARLY MARK IT WITH THE WORD ""CORRECTED.""_cmc"
,4,VFCMM,The required modifier for this VFC service is missing.
,3,VO,"	ACCORDING TO OUR RECORDS, A VALID REFERRAL WAS REQUIRED, BUT NOT OBTAINED. THEREFORE, WE ARE NOT RESPONSIBLE FOR PAYMENT._cmc"
,3,W6,"	THIS CLAIM WAS PROCESSED USING YOUR CONTRACTED RATE. THE MEMBER IS ONLY RESPONSIBLE FOR THE COST SHARE (DEDUCTIBLE, COPAY AND COINSURANCE) AND ANY NON-COVERED AMOUNT AFTER THEY MEET THEIR BENEFIT LIMIT FOR A COVERED SERVICE._cmc"
,3,WH,"	NO BENEFITS ARE PAYABLE FOR THIS SERVICE. THE PROCEDURE CODE SUBMITTED IS NOT APPROPRIATE BASED ON THE PATIENT S AGE._cmc"
,3,WL8,COVERED UNDER PART D BENEFITS
,3,XP,"	THE PCP HAS NOT BEEN SELECTED OR DOESN T MATCH THE PCP ON FILE. MEMBER NEEDS TO CONTACT THE CUSTOMER SERVICE DEPARTMENT AT THE PHONE NUMBER LISTED ON THE IDENTIFICATION CARD TO SELECT A PRIMARY CARE PHYSICIAN. THE MEMBER IS RESPONSIBLE FOR THE OUTSTANDING CHARGES._cmc"
,3,Y35,RENDERING NOT ON STATE FILE
,3,YH3,CHARGES DO NOT MEET QUALIFICATIONS FOR EMERGENT/URGENT
,3,YN5,PLEASE SUBMIT A CORRECTED CLAIM WITH A BILL TYPE 7
,3,YN6,PLEASE SUBMIT A CORRECTED CLAIM WITH A BILL TYPE 7
,3,z27,DIAGNOSIS NOT TYPICAL FOR AGE
,3,z29,A DIAGNOSIS CODE ON THE LINE IS INVALID
,3,z58,MEDICARE UNBUNDLED SCENARIO
,3,z88,LCD/ NCD: MISSING OR INVALID PART B DIAGNOSIS
,3,z95,LCD/ NCD: PART B TYPICAL FREQUENCY EXCEEDED
,3,ZE,"	WE HAVE REVIEWED A CLAIM THAT HAD BEEN PREVIOUSLY PROCESSED._cmc"
,3,ZJ0,CLAIM SUBMITTED AFTER FILING LIMIT
