Code,SEQNUM,RECID,Description,Name,COV,TOS1,CONVERTDateAdded,CONVERTEffectiveDate,CONVERTTerminationDate,ACTION CD
   AW,10,7,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,C,,20030101,20030101,,N
   AX,10,7,Item furnished in conjunction with dialysis services,Item w dialysis services,C,,20030101,20030101,,N
   AY,10,7,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx,C,,20110101,20110101,,N
   AZ,10,7,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa,I,,20110101,20110101,,N
   BA,10,7,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,C,,20030101,20030101,,N
   BL,10,7,Special acquisition of blood and blood products,Spec acquisition blood prods,C,,20050701,20050701,,N
   BO,10,7,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,C,,20030101,20030101,,N
   BP,10,7,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item,C,,19920101,19970101,,N
   BR,10,7,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item,C,,19920101,19970101,,N
   BU,10,7,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent,C,,19920101,19970101,,N
   CA,10,7,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient,C,,20030101,20030101,,N
   CB,10,7,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay,C,,20030401,20040101,,N
   CC,10,7,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change,C,,19900101,19970101,,N
   CD,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md,D,,20040101,20040101,,N
   CE,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb,D,,20040101,20040101,,N
   CF,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate,D,,20040101,20040101,,N
   CG,10,7,Policy criteria applied,Policy criteria applied,C,,20080701,20080701,,N
   CH,10,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",D,,20130101,20130101,,N
   CI,10,7,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,D,,20130101,20130101,,N
   CJ,10,7,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,D,,20130101,20130101,,N
   CK,10,7,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,D,,20130101,20130101,,N
   CL,10,7,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,D,,20130101,20130101,,N
   CM,10,7,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,D,,20130101,20130101,,N
   CN,10,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd",D,,20130101,20130101,,N
   CO,10,7,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,Outpatient ot service by ota,C,,20190101,20190101,,N
   CP,10,7,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service,C,,20160101,20180101,20171231,N
   CQ,10,7,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta,C,,20190101,20190101,,N
   CR,10,7,Catastrophe/disaster related,Catastrophe/disaster related,C,,20050821,20050821,,N
   CS,10,7,"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities",Gulf oil 2010 spill related,C,,20110101,20110101,,N
   CT,10,7,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa,C,,20160101,20160101,,N
   DA,10,7,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",C,,20110101,20110101,,N
   E1,10,7,"Upper left, eyelid",Upper left eyelid,C,,19950101,19990101,,N
   E2,10,7,"Lower left, eyelid",Lower left eyelid,C,,19950101,19990101,,N
   E3,10,7,"Upper right, eyelid",Upper right eyelid,C,,19950101,19990101,,N
   E4,10,7,"Lower right, eyelid",Lower right eyelid,C,,19950101,19990101,,N
   EA,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,"Esa, anemia, chemo-induced",D,,20080101,20080101,,N
   EB,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,"Esa, anemia, radio-induced",D,,20080101,20080101,,N
   EC,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,"Esa, anemia, non-chemo/radio",D,,20080101,20080101,,N
   ED,10,7,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle,D,,20080101,20080101,,N
   EE,10,7,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,D,,20080101,20080101,,N
   EJ,10,7,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim,D,,19910101,20000101,,N
   EM,10,7,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),D,,19910101,19970101,,N
   EP,10,7,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,Medicaid epsdt program svc,C,,19870101,19970101,,N
   ER,10,7,"Items and services furnished by a provider-based, off-campus emergency department",Off-campus ed service,C,,20190101,20190101,,N
   ET,10,7,Emergency services,Emergency services,C,,19840101,20020101,,N
   EX,10,7,Expatriate beneficiary,Expatriate beneficiary,C,,20150401,20150401,,N
   EY,10,7,No physician or other licensed health care provider order for this item or service,No md order for item/service,C,,20030101,20030101,,N
   F1,10,7,"Left hand, second digit","Left hand, second digit",C,,19950101,19990101,,N
   F2,10,7,"Left hand, third digit","Left hand, third digit",C,,19950101,19990101,,N
   F3,10,7,"Left hand, fourth digit","Left hand, fourth digit",C,,19950101,19990101,,N
   F4,10,7,"Left hand, fifth digit","Left hand, fifth digit",C,,19950101,19990101,,N
   F5,10,7,"Right hand, thumb","Right hand, thumb",C,,19950101,19990101,,N
   F6,10,7,"Right hand, second digit","Right hand, second digit",C,,19950101,19990101,,N
   F7,10,7,"Right hand, third digit","Right hand, third digit",C,,19950101,19990101,,N
   F8,10,7,"Right hand, fourth digit","Right hand, fourth digit",C,,19950101,19990101,,N
   F9,10,7,"Right hand, fifth digit","Right hand, fifth digit",C,,19950101,19990101,,N
   FA,10,7,"Left hand, thumb","Left hand, thumb",C,,19950101,19990101,,N
   FB,10,7,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",Item provided without cost,I,,20060101,20080101,,N
   FC,10,7,Partial credit received for replaced device,"Part credit, replaced device",D,,20080101,20080101,,N
   FP,10,7,Service provided as part of family planning program,Svc part of family plan pgm,C,,19870101,20050101,,N
   FX,10,7,X-ray taken using film,X-ray taken using film,C,,20170101,20170101,,N
   FY,10,7,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,C,,20180101,20180101,,N
   G0,10,7,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke,C,,20190101,20190101,,N
   G1,10,7,Most recent urr reading of less than 60,Urr reading of less than 60,C,,19970101,19980101,,N
   G2,10,7,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,C,,19970101,19980101,,N
   G3,10,7,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,C,,19970101,19980101,,N
   G4,10,7,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,C,,19970101,19970101,,N
   G5,10,7,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,C,,19970101,19980101,,N
   G6,10,7,Esrd patient for whom less than six dialysis sessions have been provided in a month,Esrd patient <6 dialysis/mth,C,,19980501,19980501,,N
   G7,10,7,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,Payment limits do not apply,D,,19990701,19990701,,N
   G8,10,7,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care,C,,19990701,19990701,,N
   G9,10,7,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,Mac for at risk patient,C,,19990701,19990701,,N
   GA,10,7,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case,C,,19950101,20110101,,N
   GB,10,7,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted,C,,20020101,20020101,,N
   GC,10,7,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,D,,19970101,20010101,,N
   GD,10,7,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,Unit of service > mue value,C,,20080101,20200101,20191231,D
   GE,10,7,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,Resident prim care exception,D,,19970101,19970101,,N
   GF,10,7,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",Nonphysician serv c a hosp,C,,20030401,20030401,,N
   GG,10,7,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",Payment screen mam + diagmam,C,,20020101,20020101,,N
   GH,10,7,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,C,,19981001,19981001,,N
   GJ,10,7,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,C,,19981001,19981001,,N
   GK,10,7,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,C,,20020101,20080101,,N
   GL,10,7,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",C,,20020101,20080101,,N
   GM,10,7,Multiple patients on one ambulance trip,Multiple transports,C,,20020101,20020101,,N
   GN,10,7,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,C,,19990101,20030101,,N
   GO,10,7,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,C,,19990101,20030101,,N
   GP,10,7,Services delivered under an outpatient physical therapy plan of care,Op pt services,C,,19990101,20030101,,N
   GQ,10,7,Via asynchronous telecommunications system,Telehealth store and forward,C,,20011001,20011001,,N
   GR,10,7,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",Service by va resident,C,,20060101,20060101,,N
   GS,10,7,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,Epo/darbepoietin reduced 25%,D,,20060101,20130101,,N
   GT,10,7,Via interactive audio and video telecommunication systems,Interactivetelecommunication,D,,19990101,19990101,,N
   GU,10,7,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,C,,20110101,20110101,,N
   GV,10,7,Attending physician not employed or paid under arrangement by the patient's hospice provider,Attending phys not hospice,D,,20020101,20020101,,N
   GW,10,7,Service not related to the hospice patient's terminal condition,Service unrelated to term co,D,,20020101,20020101,,N
   GX,10,7,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,C,,20100401,20100401,,N
   GY,10,7,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",Statutorily excluded,S,,20020101,20070701,,N
   GZ,10,7,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,M,,20020101,20020101,,N
   H9,10,7,Court-ordered,Court-ordered,I,,20030101,20030101,,N
   HA,10,7,Child/adolescent program,Child/adolescent program,I,,20030101,20030101,,N
   HB,10,7,"Adult program, non geriatric",Adult program non-geriatric,I,,20030101,20030101,,N
   HC,10,7,"Adult program, geriatric",Adult program geriatric,I,,20030101,20030101,,N
   HD,10,7,Pregnant/parenting women's program,Pregnant/parenting program,I,,20030101,20030101,,N
   HE,10,7,Mental health program,Mental health program,I,,20030101,20030101,,N
   HF,10,7,Substance abuse program,Substance abuse program,I,,20030101,20030101,,N
   HG,10,7,Opioid addiction treatment program,Opioid addiction tx program,I,,20030101,20030101,,N
   HH,10,7,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,I,,20030101,20030101,,N
   HI,10,7,Integrated mental health and intellectual disability/developmental disabilities program,Men hlth intel/dev disab pgm,I,,20030101,20140101,,N
   HJ,10,7,Employee assistance program,Employee assistance program,I,,20030101,20030101,,N
   HK,10,7,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,I,,20030101,20030101,,N
   HL,10,7,Intern,Intern,I,,20030101,20030101,,N
   HM,10,7,Less than bachelor degree level,Less than bachelor degree lv,I,,20030101,20030101,,N
   HN,10,7,Bachelors degree level,Bachelors degree level,I,,20030101,20030101,,N
   HO,10,7,Masters degree level,Masters degree level,I,,20030101,20030101,,N
   HP,10,7,Doctoral level,Doctoral level,I,,20030101,20030101,,N
   HQ,10,7,Group setting,Group setting,I,,20030101,20030101,,N
   HR,10,7,Family/couple with client present,Family/couple w client prsnt,I,,20030101,20030101,,N
   HS,10,7,Family/couple without client present,Family/couple w/o client prs,I,,20030101,20030101,,N
   HT,10,7,Multi-disciplinary team,Multi-disciplinary team,I,,20030101,20030101,,N
   HU,10,7,Funded by child welfare agency,Child welfare agency funded,I,,20030101,20030101,,N
   HV,10,7,Funded state addictions agency,Funded state addiction agncy,I,,20030101,20030101,,N
   HW,10,7,Funded by state mental health agency,State mntl hlth agncy funded,I,,20030101,20030101,,N
   HX,10,7,Funded by county/local agency,County/local agency funded,I,,20030101,20030101,,N
   HY,10,7,Funded by juvenile justice agency,Funded by juvenile justice,I,,20030101,20030101,,N
   HZ,10,7,Funded by criminal justice agency,Criminal justice agncy fund,I,,20030101,20030101,,N
   J1,10,7,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,C,,20060101,20060101,,N
   J2,10,7,"Competitive acquisition program, restocking of emergency drugs after emergency administration",Cap restock of emerg drugs,C,,20060101,20060101,,N
   J3,10,7,"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology",Cap drug unavail thru cap,C,,20060101,20060101,,N
   J4,10,7,Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge,Dmepos comp bid furn by hosp,C,,20100101,20100101,,N
   JA,10,7,Administered intravenously,Administered intravenously,C,,20070101,20070101,,N
   JB,10,7,Administered subcutaneously,Administered subcutaneously,C,,20070101,20070101,,N
   JC,10,7,Skin substitute used as a graft,Skin substitute graft,C,,20090101,20090101,,N
   JD,10,7,Skin substitute not used as a graft,Skin sub not used as a graft,C,,20090101,20090101,,N
   JE,10,7,Administered via dialysate,Administered via dialysate,C,,20130701,20130701,,N
   JF,10,7,Compounded drug,Compounded drug,C,,20150401,20150701,20150630,N
   JG,10,7,Drug or biological acquired with 340b drug pricing program discount,340b acquired drug,C,,20180101,20180101,,N
   JW,10,7,Drug amount discarded/not administered to any patient,Discarded drug not administe,C,,20030101,20030101,,N
   K0,10,7,Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.,Lwr ext prost functnl lvl 0,C,,19930101,20030101,,N
   K1,10,7,Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.,Lwr ext prost functnl lvl 1,C,,19930101,19970101,,N
   K2,10,7,"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator.",Lwr ext prost functnl lvl 2,C,,19930101,19970101,,N
   K3,10,7,"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.",Lwr ext prost functnl lvl 3,C,,19930101,19970101,,N
   K4,10,7,"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.",Lwr ext prost functnl lvl 4,C,,19930101,19970101,,N
   KA,10,7,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,C,,19940101,19970101,,N
   KB,10,7,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",>4 modifiers on claim,C,,20030101,20030101,,N
   KC,10,7,Replacement of special power wheelchair interface,Repl special pwr wc intrface,C,,20050101,20050101,,N
   KD,10,7,Drug or biological infused through dme,Drug/biological dme infused,C,,20040101,20040101,,N
   KE,10,7,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,Bid under round 1 dmepos cb,C,,20090101,20090101,,N
   KF,10,7,Item designated by fda as class iii device,Fda class iii device,C,,20040401,20040401,,N
   KG,10,7,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,C,,20070701,20070701,,N
   KH,10,7,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",C,,19940101,19970101,,N
   KI,10,7,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,C,,19940101,19970101,,N
   KJ,10,7,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen",Dmepos pen pmp or 4-15mo rnt,C,,19940101,19970101,,N
   KK,10,7,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,C,,20070701,20070701,,N
   KL,10,7,Dmepos item delivered via mail,Dmepos mailorder comp bid,C,,20070701,20090101,,N
   KM,10,7,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,C,,19960101,20010101,,N
   KN,10,7,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,C,,19960101,20010101,,N
   KO,10,7,Single drug unit dose formulation,Single drug unit dose form,C,,19970401,19970401,,N
   KP,10,7,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,C,,19970401,19970401,,N
   KQ,10,7,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,C,,19970401,19970401,,N
   KR,10,7,"Rental item, billing for partial month",Rental item partial month,C,,20020101,20020101,,N
   KS,10,7,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,D,,19981001,19981001,,N
   KT,10,7,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,Item from noncontract supply,C,,20070701,20080401,,N
   KU,10,7,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,C,,20070701,20070701,,N
   KV,10,7,Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service,"Dmepos item, profession serv",C,,20080101,20080101,,N
   KW,10,7,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,C,,20080101,20080101,,N
   KX,10,7,Requirements specified in the medical policy have been met,Documentation on file,C,,20020701,20020701,,N
   KY,10,7,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,C,,20080101,20080101,,N
   KZ,10,7,New coverage not implemented by managed care,New cov not implement by m+c,C,,20031001,20031001,,N
   L1,10,7,Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps,Separately payable lab test,C,,20140701,20170101,20161231,N
   LC,10,7,Left circumflex coronary artery,Lft circum coronary artery,C,,19970101,19970101,,N
   LD,10,7,Left anterior descending coronary artery,Left ant des coronary artery,C,,19970101,19970101,,N
   LL,10,7,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price),Lease/rental (appld to pur),C,,19840101,19970101,,N
   LM,10,7,Left main coronary artery,Left main coronary artery,C,,20130101,20130101,,N
   LR,10,7,Laboratory round trip,Laboratory round trip,C,,19870101,19970101,,N
   LS,10,7,Fda-monitored intraocular lens implant,Fda-monitored iol implant,D,,19910101,19970101,,N
   LT,10,7,Left side (used to identify procedures performed on the left side of the body),Left side,C,,19840101,19970101,,N
   M2,10,7,Medicare secondary payer (msp),Medicare secondary payer,C,,20070101,20070101,,N
   MA,10,7,Ordering professional is not required to consult a clinical decision support mechanism due to service being rendered to a patient with a suspected or confirmed emergency medical condition,Emer med cond susp/confirm,C,,20200101,20200101,,A
   MB,10,7,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of insufficient internet access,"Auc hardship, insuf internet",C,,20200101,20200101,,A
   MC,10,7,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of electronic health record or clinical decision support mechanism vendor issues,"Auc hardship, vendor issues",C,,20200101,20200101,,A
   MD,10,7,Ordering professional is not required to consult a clinical decision support mechanism due to the significant hardship exception of extreme and uncontrollable circumstances,"Auc hardship, extreme circ",C,,20200101,20200101,,A
   ME,10,7,The order for this service adheres to appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,Order adheres to auc,C,,20200101,20200101,,A
   MF,10,7,The order for this service does not adhere to the appropriate use criteria in the clinical decision support mechanism consulted by the ordering professional,Order does not adhere to auc,C,,20200101,20200101,,A
   MG,10,7,The order for this service does not have applicable appropriate use criteria in the qualified clinical decision support mechanism consulted by the ordering professional,Auc not applicable to order,C,,20200101,20200101,,A
   MH,10,7,"Unknown if ordering professional consulted a clinical decision support mechanism for this service, related information was not provided to the furnishing professional or provider",Auc consult not provided,C,,20200101,20200101,,A
   MS,10,7,Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty,6-mo maint/svc fee parts/lbr,C,,19890101,19970101,,N
   NB,10,7,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer,C,,20110101,20110101,,N
   NR,10,7,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),New when rented,C,,19840101,19970101,,N
   NU,10,7,New equipment,New equipment,C,,19840101,19970101,,N
   P1,10,7,A normal healthy patient,Normal healthy patient,C,,20060101,20060101,,N
   P2,10,7,A patient with mild systemic disease,Patient w/mild syst disease,C,,20060101,20060101,,N
   P3,10,7,A patient with severe systemic disease,Patient w/severe sys disease,C,,20060101,20060101,,N
   P4,10,7,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life,C,,20060101,20060101,,N
   P5,10,7,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper,C,,20060101,20060101,,N
   P6,10,7,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed,C,,20060101,20060101,,N
   PA,10,7,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part",I,,20090701,20090701,,N
   PB,10,7,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient",I,,20090701,20090701,,N
   PC,10,7,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient,I,,20090701,20090701,,N
   PD,10,7,Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days,Inp admit w/in 3 days,C,,20120101,20120101,,N
   PI,10,7,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,Pet tumor init tx strat,C,,20090701,20090701,,N
   PL,10,7,Progressive addition lenses,Progressive addition lenses,C,,19890101,19970101,,N
   PM,10,7,Post mortem,Post mortem,C,,20140101,20140101,,N
   PN,10,7,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",Non-excepted off-campus svc,C,,20170101,20170101,,N
   PO,10,7,"Excepted service provided at an off-campus, outpatient, provider-based department of a hospital",Excepted off-campus service,C,,20150101,20170101,,N
   PS,10,7,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy,Pet tumor subsq tx strategy,C,,20090701,20090701,,N
   PT,10,7,Colorectal cancer screening test; converted to diagnostic test or other procedure,Clrctal screen to diagn,C,,20110101,20110101,,N
   Q0,10,7,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,Invest clinical research,D,,20080101,20080101,,N
   Q1,10,7,Routine clinical service provided in a clinical research study that is in an approved clinical research study,Routine clinical research,D,,20080101,20080101,,N
   Q2,10,7,Demonstration procedure/service,"Demo procedure, service",C,,19920101,20170101,,N
   Q3,10,7,Live kidney donor surgery and related services,Live donor surgery/services,C,,19950101,20030101,,N
   Q4,10,7,Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md,C,,19940101,19970101,,N
   Q5,10,7,"Service furnished under a reciprocal billing arrangement by a substitute physician or by a substitute physical therapist furnishing outpatient physical therapy services in a health professional shortage area, a medically underserved area, or a rural area",Recip bill arr subs md or pt,D,,19930101,20170701,,N
